rows=8433
cols=3180
(0, 436, -862)
(0, 23, -1000)
(0, 1564, -767)
(0, 1362, -788)
(0, 592, -673)
(0, 1134, -890)
(0, 563, -203)
(0, 78, 1000)
(0, 172, -691)
(0, 1905, -696)
(0, 109, -1002)
(0, 337, -614)
(1, 1187, 586)
(1, 969, -615)
(1, 1049, 217)
(1, 1167, -889)
(1, 867, -973)
(1, 468, 940)
(1, 120, -569)
(1, 846, -636)
(1, 1381, -137)
(1, 2582, -1014)
(1, 1904, -549)
(1, 1803, -639)
(1, 2036, 424)
(1, 316, -1011)
(1, 993, -358)
(1, 1499, -734)
(1, 2682, 977)
(1, 1268, -914)
(1, 2872, -640)
(1, 1086, 822)
(1, 1459, -516)
(1, 2198, -626)
(1, 2948, 795)
(1, 2564, -533)
(1, 2535, -750)
(1, 2875, -758)
(1, 1451, -737)
(1, 797, -316)
(1, 1419, -512)
(1, 2567, -691)
(1, 879, -561)
(1, 1178, -536)
(1, 1553, -610)
(1, 769, -720)
(1, 1321, -303)
(1, 213, 316)
(1, 1406, 228)
(1, 55, -726)
(1, 3177, -785)
(1, 2520, -473)
(1, 215, -866)
(1, 1398, 684)
(1, 96, 311)
(1, 2598, -650)
(1, 1583, -304)
(1, 1640, -831)
(1, 367, -901)
(1, 1468, -1020)
(1, 1648, -981)
(1, 1788, 939)
(1, 538, 744)
(1, 2796, 519)
(1, 27, -864)
(1, 1244, 320)
(1, 1531, -944)
(1, 568, 111)
(1, 232, -919)
(1, 152, -532)
(1, 781, -1013)
(1, 395, -186)
(1, 2692, -595)
(1, 888, -702)
(1, 2379, 749)
(1, 1535, 352)
(1, 1492, -741)
(1, 788, -909)
(1, 1238, -829)
(1, 458, -853)
(1, 788, -661)
(1, 964, -508)
(1, 139, -485)
(1, 1634, -773)
(1, 980, -534)
(1, 898, 438)
(1, 892, -470)
(1, 552, -587)
(1, 1503, -651)
(1, 2785, -948)
(1, 2018, -172)
(1, 2837, -802)
(1, 1176, -347)
(2, 938, -762)
(2, 1061, 545)
(2, 1119, -744)
(2, 364, 561)
(2, 990, -728)
(2, 15, 275)
(2, 568, 727)
(2, 3053, -795)
(2, 969, -895)
(2, 1526, -515)
(2, 583, 809)
(2, 655, -799)
(2, 3023, 34)
(2, 273, -241)
(2, 2363, -208)
(2, 1889, -726)
(2, 494, -648)
(2, 571, 405)
(2, 2337, -876)
(2, 1359, -886)
(2, 894, -460)
(2, 1026, 733)
(2, 459, -887)
(2, 1, -843)
(2, 967, 801)
(2, 1200, -967)
(2, 1424, -944)
(2, 889, -531)
(2, 516, 726)
(2, 1754, -630)
(2, 1482, -805)
(2, 1315, -647)
(2, 1202, -662)
(2, 1904, -768)
(2, 1320, -700)
(2, 223, -924)
(3, 739, -954)
(3, 2075, -851)
(3, 1547, -304)
(3, 1128, -988)
(3, 1947, 203)
(3, 2924, -679)
(3, 669, 264)
(3, 1334, 510)
(3, 331, -169)
(3, 1013, -1011)
(3, 326, 985)
(3, 2418, -772)
(3, 219, 397)
(3, 995, -850)
(3, 590, -511)
(3, 2860, -542)
(3, 1499, -653)
(3, 283, -904)
(3, 1370, -782)
(3, 3158, -908)
(3, 1028, -863)
(3, 1381, -747)
(3, 3179, 57)
(3, 1286, 941)
(3, 13, -392)
(3, 216, -572)
(3, 1323, -578)
(3, 876, -1014)
(3, 893, -515)
(3, 1067, -776)
(3, 17, -644)
(3, 1054, -592)
(3, 1390, 462)
(3, 957, -992)
(3, 2338, 207)
(3, 1277, -574)
(3, 619, 429)
(3, 1153, -601)
(3, 965, 933)
(3, 2423, -622)
(3, 1342, 526)
(3, 1436, -23)
(3, 365, -653)
(3, 792, -326)
(3, 988, -120)
(3, 1073, -516)
(3, 3121, 508)
(3, 149, -784)
(3, 1303, -984)
(3, 199, 775)
(3, 963, -349)
(3, 30, 393)
(3, 1362, -638)
(3, 1126, -87)
(3, 266, -601)
(3, 387, -723)
(3, 1259, -702)
(3, 161, -811)
(3, 263, -540)
(3, 447, -578)
(3, 1334, 351)
(3, 1141, -693)
(3, 83, -729)
(3, 3141, 678)
(3, 2369, 713)
(3, 139, 502)
(3, 1231, -647)
(3, 167, -925)
(3, 523, -797)
(3, 1660, 485)
(3, 1466, -996)
(3, 428, -631)
(4, 1965, 495)
(4, 563, 49)
(4, 1290, 62)
(4, 720, 823)
(4, 1932, -625)
(4, 354, 764)
(4, 892, -146)
(4, 2761, 79)
